Bulge+Disk Morphological Measurements & Photometry
Click to expand
Column Name	Description
mag_err_model_disk_sc-ia738	Disk component model AB magnitude error
mag_err_model_disk_sc-ia767	Disk component model AB magnitude error
mag_err_model_disk_sc-ib427	Disk component model AB magnitude error
mag_err_model_disk_sc-ib505	Disk component model AB magnitude error
mag_err_model_disk_sc-ib574	Disk component model AB magnitude error
mag_err_model_disk_sc-ib709	Disk component model AB magnitude error
mag_err_model_disk_sc-ib827	Disk component model AB magnitude error
mag_err_model_disk_sc-nb711	Disk component model AB magnitude error
mag_err_model_disk_sc-nb816	Disk component model AB magnitude error
flux_model_bd_total_hst-f814w	Total B+D model flux [microJy]
flux_model_bd_total_f770w	Total B+D model flux [microJy]
flux_model_bd_total_cfht-u	Total B+D model flux [microJy]
flux_model_bd_total_hsc-g	Total B+D model flux [microJy]
flux_model_bd_total_hsc-r	Total B+D model flux [microJy]
flux_model_bd_total_hsc-i	Total B+D model flux [microJy]
flux_model_bd_total_hsc-z	Total B+D model flux [microJy]
flux_model_bd_total_hsc-y	Total B+D model flux [microJy]
flux_model_bd_total_hsc-nb0816	Total B+D model flux [microJy]
flux_model_bd_total_hsc-nb0921	Total B+D model flux [microJy]
flux_model_bd_total_hsc-nb1010	Total B+D model flux [microJy]
flux_model_bd_total_uvista-y	Total B+D model flux [microJy]
flux_model_bd_total_uvista-j	Total B+D model flux [microJy]
flux_model_bd_total_uvista-h	Total B+D model flux [microJy]
flux_model_bd_total_uvista-ks	Total B+D model flux [microJy]
flux_model_bd_total_sc-ia484	Total B+D model flux [microJy]
flux_model_bd_total_sc-ia527	Total B+D model flux [microJy]
flux_model_bd_total_sc-ia624	Total B+D model flux [microJy]
flux_model_bd_total_sc-ia679	Total B+D model flux [microJy]
flux_model_bd_total_sc-ia738	Total B+D model flux [microJy]
flux_model_bd_total_sc-ia767	Total B+D model flux [microJy]
flux_model_bd_total_sc-ib427	Total B+D model flux [microJy]
flux_model_bd_total_sc-ib505	Total B+D model flux [microJy]
flux_model_bd_total_sc-ib574	Total B+D model flux [microJy]
flux_model_bd_total_sc-ib709	Total B+D model flux [microJy]
flux_model_bd_total_sc-ib827	Total B+D model flux [microJy]
flux_model_bd_total_sc-nb711	Total B+D model flux [microJy]
flux_model_bd_total_sc-nb816	Total B+D model flux [microJy]
flux_err_model_bd_total_hst-f814w	Total B+D model flux error [microJy]
flux_err_model_bd_total_f770w	Total B+D model flux error [microJy]
flux_err_model_bd_total_cfht-u	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-g	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-r	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-i	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-z	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-y	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-nb0816	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-nb0921	Total B+D model flux error [microJy]
flux_err_model_bd_total_hsc-nb1010	Total B+D model flux error [microJy]
flux_err_model_bd_total_uvista-y	Total B+D model flux error [microJy]
flux_err_model_bd_total_uvista-j	Total B+D model flux error [microJy]
flux_err_model_bd_total_uvista-h	Total B+D model flux error [microJy]
flux_err_model_bd_total_uvista-ks	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ia484	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ia527	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ia624	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ia679	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ia738	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ia767	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ib427	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ib505	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ib574	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ib709	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-ib827	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-nb711	Total B+D model flux error [microJy]
flux_err_model_bd_total_sc-nb816	Total B+D model flux error [microJy]
flux_model_bulge_hst-f814w	Bulge component model flux [microJy]
flux_model_bulge_f770w	Bulge component model flux [microJy]
flux_model_bulge_cfht-u	Bulge component model flux [microJy]
flux_model_bulge_hsc-g	Bulge component model flux [microJy]
flux_model_bulge_hsc-r	Bulge component model flux [microJy]
flux_model_bulge_hsc-i	Bulge component model flux [microJy]
flux_model_bulge_hsc-z	Bulge component model flux [microJy]
