B+D (v1.1, from COSMOSWeb_mastercatalog_v1.1_bulgedisk.fits, 784016 rows)
Column Name	Format	Unit
flux_err_model_disk_uvista-y	D	
flux_err_model_disk_uvista-j	D	
flux_err_model_disk_uvista-h	D	
flux_err_model_disk_uvista-ks	D	
flux_err_model_disk_sc-ia484	D	
flux_err_model_disk_sc-ia527	D	
flux_err_model_disk_sc-ia624	D	
flux_err_model_disk_sc-ia679	D	
flux_err_model_disk_sc-ia738	D	
flux_err_model_disk_sc-ia767	D	
flux_err_model_disk_sc-ib427	D	
flux_err_model_disk_sc-ib505	D	
flux_err_model_disk_sc-ib574	D	
flux_err_model_disk_sc-ib709	D	
flux_err_model_disk_sc-ib827	D	
flux_err_model_disk_sc-nb711	D	
flux_err_model_disk_sc-nb816	D	
b/t_hst-f814w	D	
b/t_f770w	D	
b/t_cfht-u	D	
b/t_hsc-g	D	
b/t_hsc-r	D	
b/t_hsc-i	D	
b/t_hsc-z	D	
b/t_hsc-y	D	
b/t_hsc-nb0816	D	
b/t_hsc-nb0921	D	
b/t_hsc-nb1010	D	
b/t_uvista-y	D	
b/t_uvista-j	D	
b/t_uvista-h	D	
b/t_uvista-ks	D	
b/t_sc-ia484	D	
b/t_sc-ia527	D	
b/t_sc-ia624	D	
b/t_sc-ia679	D	
b/t_sc-ia738	D	
b/t_sc-ia767	D	
b/t_sc-ib427	D	
b/t_sc-ib505	D	
b/t_sc-ib574	D	
b/t_sc-ib709	D	
b/t_sc-ib827	D	
b/t_sc-nb711	D	
b/t_sc-nb816	D	
b/t_err_hst-f814w	D	
b/t_err_f770w	D	
b/t_err_cfht-u	D	
b/t_err_hsc-g	D	
b/t_err_hsc-r	D	
b/t_err_hsc-i	D	
b/t_err_hsc-z	D	
b/t_err_hsc-y	D	
b/t_err_hsc-nb0816	D	
b/t_err_hsc-nb0921	D	
b/t_err_hsc-nb1010	D	
b/t_err_uvista-y	D	
b/t_err_uvista-j	D	
b/t_err_uvista-h	D	
b/t_err_uvista-ks	D	
b/t_err_sc-ia484	D	
b/t_err_sc-ia527	D	
b/t_err_sc-ia624	D	
b/t_err_sc-ia679	D	
b/t_err_sc-ia738	D	
b/t_err_sc-ia767	D	
b/t_err_sc-ib427	D	
b/t_err_sc-ib505	D	
b/t_err_sc-ib574	D	
b/t_err_sc-ib709	D	
b/t_err_sc-ib827	D	
b/t_err_sc-nb711	D	
b/t_err_sc-nb816	D	
