 Non-PSF-homogenized Aperture Photometry
Click to expand
Column Name	Description
flux_aper_sc-nb816	Non PSF homogenized aperture flux in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_aper_irac-ch1	Non PSF homogenized aperture flux in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_aper_irac-ch2	Non PSF homogenized aperture flux in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_aper_irac-ch3	Non PSF homogenized aperture flux in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_aper_irac-ch4	Non PSF homogenized aperture flux in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_f115w	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_f150w	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_f277w	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_f444w	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hst-f814w	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_f770w	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_cfht-u	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-g	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-r	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-i	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-z	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-y	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-nb0816	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-nb0921	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_hsc-nb1010	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_uvista-y	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_uvista-j	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_uvista-h	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_uvista-ks	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_uvista-nb118	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ia484	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
flux_err_aper_sc-ia527	Non PSF homogenized aperture flux uncertainty (uncalibrated) in [0.1, 0.25, 0.5, 1.0 and 1.5] arcsecond diameter apertures [microJy]
