Machine Learning Morphological Classification
Click to expand
Column Name	Description
bd_f150w_mean	Mean probability of being classified as Bulge-dominated in F150W filter
bd_f150w_std	Standard deviation of probability for Bulge-dominated classification in F150W filter
sph_f277w_mean	Mean probability of being classified as Spheroid in F277W filter
sph_f277w_std	Standard deviation of probability for Spheroid classification in F277W filter
disk_f277w_mean	Mean probability of being classified as Disk in F277W filter
disk_f277w_std	Standard deviation of probability for Disk classification in F277W filter
irr_f277w_mean	Mean probability of being classified as Irregular in F277W filter
irr_f277w_std	Standard deviation of probability for Irregular classification in F277W filter
bd_f277w_mean	Mean probability of being classified as Bulge-dominated in F277W filter
bd_f277w_std	Standard deviation of probability for Bulge-dominated classification in F277W filter
sph_f444w_mean	Mean probability of being classified as Spheroid in F444W filter
sph_f444w_std	Standard deviation of probability for Spheroid classification in F444W filter
disk_f444w_mean	Mean probability of being classified as Disk in F444W filter
disk_f444w_std	Standard deviation of probability for Disk classification in F444W filter
irr_f444w_mean	Mean probability of being classified as Irregular in F444W filter
irr_f444w_std	Standard deviation of probability for Irregular classification in F444W filter
bd_f444w_mean	Mean probability of being classified as Bulge-dominated in F444W filter
bd_f444w_std	Standard deviation of probability for Bulge-dominated classification in F444W filter
morph_flag_f277w	Morphological classification flag for F277W filter. 0: Spheroid, 1: Disk-dominated, 2: Irregular, 3: Bulge-dominated
delta_f277w	Uncertainty on the morphology class for F277W filter. Estimated as the difference between the two largest probablility values
morph_flag_f444w	Morphological classification flag for F444W filter. 0: Spheroid, 1: Disk-dominated, 2: Irregular, 3: Bulge-dominated
delta_f444w	Uncertainty on the morphology class for F444W filter. Estimated as the difference between the two largest probablility values
morph_flag_f150w	Morphological classification flag for F150W filter. 0: Spheroid, 1: Disk-dominated, 2: Irregular, 3: Bulge-dominated
delta_f150w	Uncertainty on the morphology class for F150W filter. Estimated as the difference between the two largest probablility values
